movie,sentence,score
포커페이스,드라마 한편 본 느낌 액션도 부족하고 스토리도 부족 악역도 부족 롤스로이스 차 구경만 하고 나온 기분,6
포커페이스,드라마 한편 본 느낌 액션도 부족하고 스토리도 부족 악역도 부족 롤스로이스 차 구경만 하고 나온 기분,6
웅남이,가볍게 볼 만해요.평소 박성광씨 개그도 좋아하고라디오 스페셜 dj 몹시 좋았는데영화도 평타 이상은 했어요.앞으로 무궁한 발전이 있기를~,9
웅남이,내인생에서 본영화중 가장최악.... 외국 국내 다포함해서...,1
웅남이,웃겨요 킬링타임으로 최고!!,10
프라하의 봄,"밀란 쿤데라의 &amp;lt;참을 수 없는 존재의 가벼움&amp;gt;을 상업적으로 이미지화 한 작품. 많은 것들이 생략&amp;축약되거나 각색되었지만, 스토리 본류는 잘 재현한 편. 하지만, 둘 중 고르라면 역시 니체 철학과 현대사가 기가 막히게 얽힌 책을 읽는 쪽으로. 성인이 된 90년대 봤다거나, 책을 읽기 전에 봤다면 더 높은 평점을 줬을지도.",6
소울메이트,가장 사랑하는 사람에게 하고싶은 거짓말,10
웅남이,나는 너무 재미있게 봤는데 ㅎ귀여운 영화였음 ,9
웅남이,웃음 포인트가 많아서 보는내내 즐겁습니다.,10
웅남이,이런걸 돈 주고 보는사람이 있는게 신기하다 ㅋㅋㅋ,2
인생은 아름다워,아무생각 없이보다가 염정아배우의 몰입하게되서 저희 아기 남편 생각나서 너무 슬펐어요ㅠ오랜만에 잘울고 갑니다,10
벤자민 버튼의 시간은 거꾸로 간다,두말 필요없이 인생 최고의 영화! 인간이 태어나면서 죽어가는과정... 그안에 주인공 주위의 많은 사람들의 이야기...우리현실에서 마주 칠 수 있는 여러 이야기들이 절묘하게 섞여서 공감 할 수 있는 스토리. 주제는 독특하지만 결국 인간의 늙고 죽음은 다르지 않다는 것을 느끼게 해준다. 몇번을 봤지만 여러해석으로도 재미있게 볼 수 있는 영화!안 보신분들은 꼭 보시길 강추 드립니다.,10
웅남이,코로나시절과 육아로 어른영화를 4년만에 봤는데 엄청 웃겨요!!!마지막엔 조금 슬프기도한거같고ㅋㅋㅋ꼭 보세요 꼭!!!!,10
롱 리브 더 킹: 목포 영웅,카지노 보고 욕할데가 없어서 감독 욕하러 왔다. 디즈니 플러스 유료구매하고 본 내가 등신이다. 이걸 시나리오라고 썼냐?,2
스즈메의 문단속,당신이 동일본 대지진을 조금이라도 알고 있다면.,8
웅남이,후유증..ㅋㅋ 웅남이 짱~~,10
스즈메의 문단속,개인적으로 너의이름은 보다 재미있었다,10
경관의 피,"조진웅, 최우식 배우의 연기가 좋았습니다. 그런데 대사가 잘 안 들리는 부분이 있어서 아쉬웠네요 ㅠ",8
웅남이,넘웃기고 중간중간 액션까지 있으니 더 꿀잼 ㅋㅋㅋ 가볍게보기 좋음!,10
와니와 준하,2000년대를 충분히 느낄 수 있는 깨끗한 영화. 김희선배우의 연기가 돋보이는 작품으로 영상미와 ost가 잘 어우러져 밀레니엄시절이 그리운 분들에게는 단비같은 영화. ,9
킹스맨: 퍼스트 에이전트,킹스맨 특유의 B급 감성만 기대하지 않는다면 흥미롭게 만들어졌네요!,8
웅남이,즐겁게 잘 봤습니다~~,10
웅남이,사람마다 개그 코드는 다르니까요.. 저는 버티다 결국 상영중에 나왔습니다.. ,1
닥터 스트레인지: 대혼돈의 멀티버스,"복잡한 멀티버스의 세계.. 완다 흑화에 너무 당황했는데, 쿠키 꼭 보고 나오세요!!",7
웅남이,재밌게 봤어요^^~ㅋ ,9
신비한 동물들과 덤블도어의 비밀,화려한 CG로 볼거리는 많았어요. 후속을 위한 편인 듯합니다~~,7
브로커,"너무나 잔잔해서.. 이전의 감독님 작품에 대한 이야기는 보고 갔지만, 너무 고요했어요.",6
스즈메의 문단속,재난을 이렇게 표현하는게 대단한듯,10
소울메이트,원작은 모르지만 재밌게 봤어요,6
웅남이,너무 웃겨ㅋㅋㅋ,10
신비아파트 극장판 차원도깨비와 7개의 세계,"아이가 워낙 신비아파트를 좋아해서 보러 갔는데, 성인이 같이 보기에도 흥미로운 이야기였습니다. 재밌게 봤어요 ^^",9
스즈메의 문단속,영상미 만족 나머지는 그냥..,5
웅남이,박성광이고 나발이고 그냥 재미가 없다. 개그맨이라 색안경껴서 그런거 아니고 그냥 진짜로 재미가 없다. ,1
웅남이,아바타와 탑건이랑 같은 가격인데 너무하네요ㅜㅜ,1
모나리자와 블러드 문,밋밋한 느낌이었어요 노래는 좋습니다,4
유령,"이하늬, 박소담 배우가 다한 영화에요~~ 배우진이 화려해서 너무 기대가 컸던 것 같습니다.",7
웅남이,와  보다 잣는데....누가 평점이리 높게  준거냐???알바들 졸라 많네평점 알바에 ㅈ속음  내돈 내시간,2
웅남이,박성광씨가 이걸 볼진 모르겠지만..영화 더 공부하고 제대로 만드세요..,1
타인은 지옥이다,불면증 있는 분들에게 강추해 주고 싶은 영화 처음부터 끝까지 다 보는데 일주일 걸렸음,10
웅남이,즐거운 웃음 주셔서 감사합이다~,10
교섭,민감한 소재이다보니 다룰 수 있는 부분이 한계였던 걸까요 긴장감도 없고 아쉬웠습니다,6
스즈메의 문단속,한번더 보고싶은작품이었습니다ㅡ,10
장화신은 고양이: 끝내주는 모험,올해 본 최고의 애니메이션 영화! 애니 속에 인생이 다 담겨져 있어요냥이들도 너무 귀엽네요,10
상견니,"상친자로 무조건 봤는데, 영화 자체는 아쉬운 부분이 많았습니다. ㅠ",8
애프터썬,"전체적으로 잔잔한 전개이지만, 마음의 울림을 주는 영화였어요.",9
웅남이,적극 추천요~,10
서치 2,"서치1을 보지 않았는데, 보고 싶어질 만큼 긴장감 있게 봤어요!보는 내내 등장인물들 다 의심해봤네요!",9
에브리씽 에브리웨어 올 앳 원스+,이토록 능수능란한 멀티버스 연출이라니.. 거기에 이제 액션과 감동까지 놓치지 않은.. 물론 정신없다는 사람들도 있는데 그말도 이해는 된다. 확실히 호불호 갈릴 만한 영화지만 난 극호!,10
대외비,긴장감이 다소 부족한 전개.. 배우들의 연기력은 좋았어요!,7
웅남이,다 같이 웃어보자~ㅋㅋㅋ,10
카운트,배우들의 연기력과 감독의 감동을 이끄는 연출력까지 더해짐!,8
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",연출이 아쉽습니다. TV판인 줄 알긴 했지만..,6
웅남이,클레멘타인 이후 최고의 영화를 드디어 보았습니다. 정말 눈물나게 감동적인 영화.. 제 인생 최고의 영화로 기억에 남을 명작! 몸속에 키워가던 암이 사라졌습니다. ,10
스즈메의 문단속,시사회로 보고 너무 좋아서 재관람 했습니다!OST와 스토리를 이끄는 감독의 연출력이 뛰어나요!!,9
소울메이트,많은 사람들이 생각났던 영화미안하고 감사합니다전소니 =뉴진스 혜인+해린김민희송혜교고민시ㄹㅇ 천의 얼굴임,9
경성학교: 사라진 소녀들,엄지원님 미모와 발음이랑 목소리가 정말 미쳤다....광기 느껴지고 박보영은 너무 예쁘고 동안이더ㅠㅠ세상에,6
웅남이,감독이 스타일이 보여준다,10
스즈메의 문단속,예상되는 스토리지만 영상미로 압도.,10
소울메이트,"배우들의 연기 뿐만 아니라 연출도 너무 좋았어요! 진한 울림이 영화, 추천드려요",9
웅남이,넘 재밌게 봤어요 박성광씨 멋찌다~~~!,10
포커페이스,킬링 타임용으로 그럭저럭,6
웅남이,평점 알바 같은것도 있는건가?,1
웅남이,"영화관에서 볼 영화는 아닌거 같아요.. ㅠㅠ 애기 얼집데려다주고 황금같은 오전 시간에 남편이랑 보러갔다가, 중간에 나왔습니다.. ",2
소울메이트,큰 웃음 주는 영화~~,10
웅남이,평론가의 혹평에 대해 논하기엔 영화의 수준이 너무 낮습니다.,1
파벨만스,이 영화 볼수 있어서 행복하네요,10
웅남이,0점은없냐?,1
재심,변호사라는 직업 너무 멋찌다 정말 ,10
모나리자와 블러드 문,영상미와 음악이 좋아요,8
웅남이,이이경 연기 너무 잘함,10
보통사람,보기 불편하고 열받는 이야기,6
라이프 오브 파이,파이에게는 살아생전 한번 가질까말까 하는 스토리를 두 개나 갖고 있다. 그 스토리가 뭘지 궁금하지 않은가.,10
유열의 음악앨범,인생의 강력한 사람과의 재회를 보는 것이 너무나 뭉클했다,7
연평해전,잊지 말아야할.. 추천합니다,10
6번 칸,따뜻한 영화 볼 수 있어서 좋았어요.,8
모나리자와 블러드 문,너무좋아!!! 인생영화,10
소울메이트,우정이라는 추상적인 감정을 잘 표현했습니다.,9
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",무난했어요. 크게 재미있지는 않습니다.,7
대외비,연기 하나만 볼 만 했어요.,8
웅남이,보는내내 재밌었어요~^^,10
웅남이,나도 모르게 크게 터져 나오는 웃음에 나도 놀랐네~~ㅋ,10
카운트,생각보다 재미있게 잘 봤어요.,8
웅남이,여기는 내용없는 1점들 천지? 옆동네는 내용없는 10점들 천지?,10
스즈메의 문단속,영상이 예뻐서 만족스러웠어요.,9
웅남이,너무 웃어서 주위 사람들 눈치가 보여서 민망했네요..,10
웅남이,충분히 할만큼 했다 박성광감독 화이팅,10
스즈메의 문단속,맨 마지막 미미즈 그래픽이 영화 전체적인 그림체랑 안어울리게 3d툴 그냥 휘갈긴 것 같아서 엥 싶었음.그리고 스즈메랑 소타 사이에 감정이 생긴 것도 공감이 안갔다..첫만남에 끌렸다는 건 알겠는데 이 이후에는 의자로 변해버려서 별 교류라고 할게 없었는데 언제 마음이 생겼다는 건지..막판에 뭐 소타없는 세상엔 못살아 막 이러는데 그정도라고..? 싶었다..,6
소울메이트,원작을 안봤는데 영화만으로 감정선이 따라가는데 문제 없었어요.,9
스즈메의 문단속,영상과 음악을 듣는 것 만으로도 충분히 값어치를 하는 영화,8
대외비,연기들을 잘해서 그나마 볼 만 했어요.,7
카운트,킬링타임용으로 괜찮았어요.,8
스즈메의 문단속,영상미가 화려해서 좋았어요.,9
웅남이,후유증..ㅋㅋ 웅남이 짱~~,10
스즈메의 문단속,"나는 사실 별 기대 안하고 갔음너의 이름은도 다들 재밌다고 할 때 나는별로 재밌게 보지 않았음.친구들이 보러간다고 그래서 그냥 간건데영화 초반 중반 후반 갈 수록 긴장하게되고 땀을 쥐게 되고 잠시도 지루한 시간이 없었음이렇게 몰입해서 본것도 최근 처음임나는 영화볼때 연출이나 다른 게 아무리 좋아도 별 내용 없는게 제일 싫은데 이건 영상미도 대박이였고 ost도 대박이고 내용도 되게 많은게 담겨있다고 느꼈음동일본 대지진..일본의 아픈 부분이고 그 부분들로 인해 아픔들을 가진 주인공이 나오는게 감동을 주는 부분이 컸음 가족이 먼저 떠난 아픔, 일상들을 살아가는 사람들을 지켜내기 위해 노력하고 잊고있던 자신의 어린 기억들도, 이모의 숨겨둔 감정도 다 내뱉으며 스스로 깨닿게 되는부분도 좋았고 스즈메가 일본 곳곳을 다니며 배우고 경험하는게 좋았음영화 부분부분 재밌는 요소도 있고 힐링도 되고 슬프고 아프고 긴장되고 아름다움나도 눈물 좀 찔끔 나왔고 친구들도 울었다고 함 내가 좋아하는 애니영화는 센과치히로랑 하울의 움직이는 성이 유일했는데 이것도 진짜 영화보고 나서도 여운이 많이 남음어쨌든 난 너무 재밌었고 후회없는 선택이였음 근데 이거 영화관에서 보는게 더 재밌을 것 같음 난 영화관 사운드가 몰입이 잘됐음",10
파벨만스,아빠가 너무 불쌍 엄마가 너무 개인적인 인간이라고 생각함..,8
웅남이,형편없네요.연기자들이 힘들어보이네요,2
스즈메의 문단속,이 영화는 완벽 그 자체 입니다.,10
웅남이,혹시나 했는데 역사나 재미있었다. 진짜 보길 잘했다,10
스즈메의 문단속,"반복되는 재난을 겪어본 사람만이 할수있는 상상력! 환상적인 그림, 빛표현은 최고입니다. 어린 스즈메가 울때 나도 같이 무너졌네요. 출입문은 항상 닫고 다닙시다~^^",10
섬. 사라진 사람들,평점 좋아서 보는중인데 ? 현실에서 일어나는 일들 ㅡㅡ,8
웅남이,요즘은 웃을 일도 별로 없는데 덕분에 많이 웃었습니다.,10
꼬마돼지 베이브의 바다 대모험,아기 데리고 왔는데 아가가 집중도 잘하고 이야기 짜임새도 좋고 성우분들 연기도 너무 좋았습니다^^,10
웅남이,비전공 평론가들은 영화 평론이 만만해 보여?,10
웅남이,우크라이나는 개그맨출신이 대통령인데 뭐가문제야,10
외계+인 1부,이연걸의 의천도룡기처럼 넘나 재미있네요~~ 아 영화관에서 못 본 게 아쉬워요~ 그때 헤어질 결심에 빠져서 헤결 두 번 보느라 못 봤는데.. 쫌 미안;;; 안타까워요 충분히 흥행할 영화인데... 2부는 꼭 영화관에서 볼 테니 개봉해주세요 ㅠㅠㅠㅠ,10
웅남이,재밌어요 ㅎㅎ 꼭꼭꼭 보세요 저만보기 아까워요^^,10
웅남이,웅남아~ 일애니 이겨보자!!,10
폴: 600미터,흥미진진했으나 급 마무리는 실망,6
웅남이,진짜 유치하고 재미 없어요 ㅠㅠ웃긴건 다 넣은거 같은데 웃기지가 않아요,2
웅남이,용철아 니가 생각한거보다 재미있더라 ,10
웅남이,잠시라면 편히 웃을 수 있는 시간이 필요하신분들 꼭 보세요,10
웅남이,스토리는 약간 약한데 연기가 만족스럽네요,10
모나리자와 블러드 문,요즘 보면 뭔가 잇어 보이는 듯한 뭔가 깨어잇는 듯한 뭔가 그런걸 예술인척 하는 영화들을 만드는데 ㅋㅋ 진심 그냥 개똥이다 ㅋ자유니 뭐니 참 ㅋㅋㅋ그냥 아무 내용도 없다 ㅋ ㅋㅋ예술인척 하는 개똥일뿐 ㅋㅋ,1
웅남이,배우들의 코미디 연기가 넘 재밌고 중간에 액션까지 섞여 있어서 가볍게 보기에 딱 좋음! 재밌게 보고 왔습니당~~~!,10
웅남이,ㄴㄴㄴ,8
웅남이,박성웅 액션이야 말할 것도 없고 이제 코미디까지 잘하네!! ㅎㅎㅎ 이이경은 또 코미디 왜이리 잘하는거야 ㅋㅋㅋ폼 미쳐벌임! ㄷ ㅋㅋㅋ,10
웅남이,말봉이가 다했따 이이경 배우님 응원합니다,10
웅남이,클레멘타인이 떠오르는건 왜일까...?,1
겨울 나그네,환경과 인간 그리고 운명과 숙명에 대한 깊은 통찰,10
웅남이,너무 웃겨요 보시면 후회 안 할 겁니다~강추요,10
대외비,별로였습니다 시니라오가 너무 비밀주의였음,4
파벨만스,"스필버그, 그렇게 영화가 되었다.",8
마담 보바리,원작의 엠마처럼 흑발에 아름다운 여주가 연기 했더라면 더 몰입감 있었을텐데..참 아쉽다ㅠㅠ,8
웅남이,시사회갔던 언니가 알려줘서 재밌게 봤습니다,10
파벨만스,삶의 비극을 담아 낼 때도 아름다울 수 있는 이유,8
웅남이,너무 재밋어요,10
에브리씽 에브리웨어 올 앳 원스+,"다니엘스, 양자경, 키호이콴, 스테파니수, 제이미리커티스",8
웅남이,여기는 10점 아니면 1점 남기는 분위기죠? 내용없이 그냥 1점인 사람들 천지네.. 저희는 보통이상이니 10점할게요,10
웅남이,나름 소소하게 웃으며 볼만함 재밌었음,10
판타스틱 플래닛,스토리에 놀라고 73년작이라는데에 두번 놀란다,9
웅남이,내용은 거시기함 조조로 짱임!       눈치 안보고 크게웃을수있음,9
날씨의 아이,"일단 정말 재밌고 아주 작품성 있는 영화였습니다.별 생각없이 개봉한지 4년이 넘어서야 이제야 보게되었는데, 왜 이걸 지금 봤지라고 생각이 드는 영화입니다. 태어나서 영화평 쓰는거 처음이고, 애니메이션 장르 자체를 잘 안보는데, 그만큼 인상깊고 여운있는 영화로 느껴졌습니다. 개연성이 어쨌다, 몰입이 안 된다 하시는 분들 많으신데, 영화 볼때 집중안하시는 분들이죠... 영화 초반부에 주인공 얼굴을 보시면 왜 가출을 했는지 알 수있죠.또 총이 왜 나왔냐고 하시는데 영화 결말즈음 경찰과 총으로 대치 상황일 때의 서스펜스는 영화 전반부를 걸쳐서 가장 강렬했던 것 같습니다. 솔직히 제가 감독이었다면 이 대치상황에서 주인공이 죽음을 맞고 죽게됨으로서 여주인공과 재회하는 결말로 마무리했을 것 같습니다만... 아마 신카이 마코토 감독의 감독판이나 프리프로덕션의 구성에 있었을 수도 있을 것 같습니다...등장인물들 모두 하나같이 개성있고 중요한 역할을 했으며, 쓸데없이 많은 등장인물은 없었네요...그만큼 줄거리에 더 잘 스며들 수 있었던 것 같습니다. 또 많은 분들이 그래서 여자애랑 날씨랑 뭔 상관이냐? 이렇게 생각하실텐데....이건 다큐가 아닙니다. 영화에서는 개연성도 중요하지만 특히 감정의 전달이 더 중요합니다. 제 경험상 &amp;#39;날씨&amp;#39;가 영화의 주 서사로 작동한 것은 이 영화가 유일무이한 것 같습니다 아주 직관적이지만 간접적인 메시지로 날씨라...아주 천재적이죠아무튼, 결말은 아예 비극적이게 두 주인공의 죽음으로 승화하는 것이 어땠을까라는 느낌은 있지만,  그 외는 아주 완벽하고 훌륭한 작품이다 느꼈습니다. 영상미, 음향을 말할 것도 없고요.좋은 작품 감사합니다 감독님이제 너의 이름은 보러 갈게용~♡ ",10
모나리자와 블러드 문,"영상미만 괜찮은 편...!!예고편만 보고 판타지, 스릴러 이런거 생각하시면뒤통수 맞으십니다. 보고 나왔는데 장르를 모르겠어요.ㅋㅋㅋㅋ ",5
웅남이,천하장사 웅남이... 멋있다~~,9
인어 공주,"이게 2004년 작품이라니 진짜 너무 멋있습니다~2023년을 사는 지금 밖에는 미세먼지와 황사…. 코로나는 막지났지만 삭막한 사회…프리다이빙 배운 저로써는 해녀들의 다이빙 장면도 너무 멋있고 맘껏 들이키는 공기도 너무 부럽고, 순수한 남녀의 사랑도 너무 예쁘네요. 가끔은 60~70년도로 휴가다녀 오고 싶습니다~ 참고로 저는 80",10
웅남이,너무 웃겨ㅋㅋㅋ,10
웅남이,웅남이로 부모님께 효도함,10
스즈메의 문단속,속도감있게 진행되어 지루할 새 없이 좋았습니다,10
웅남이,"뭐 이런,.,.,.,.",1
스즈메의 문단속,많은 생각을 하도록 만드는 영화,10
웅남이,배우들의 연기는 절대 깔수없다,10
웅남이,오랫만에 맘껏 웃어봤네요,10
파벨만스,스필버그 감독님의 시네마천국,9
헤어질 결심,인생 최고의 명작,10
헤어질 결심,인생 최고의 명작,10
웅남이,"갖잖게 텃세 부리는 놈들은 엄마 젖빨고 있는 놈들이냐?박성광은 태어나길 개그맨으로 태어나고, 영화계는 천상계냐?웃기는 짬뽕같은 젖빠는 놈들...!",10
웅남이,돈...아깝다....,1
작전 23,실화 바탕 이라 감동적입니다,10
토니 타키타니,토니 타키타니,9
웅남이,ㅎㅎ~~~,10
웅남이,저희 고모는 이거 너무 웃기다고 하시네요 10대분들은 조금 난해할수 있음ㅋ,9
이니셰린의 밴시,콜린 퍼렐과 브랜단 글리슨 연기가 일품이었던 영화,10
웅남이,다음 작품에서는 더 발전한 모습 기대하겠습니다,5
웅남이,"1.비웃을준비해서 보고 깎아내리면   할수없는일2,재밌다고웃는사람의 웃음까지   깎아내릴 순 없는일3, 사람마다 웃음 코드가 다름4.코믹영화에서 기대할것만 기대   하면 됨",8
웅남이,엄근진들 천지네... 부모님들께 보여드렸는데 아주 만족하시네요,10
인페르노,어쨌거나 젤 흥미진진,7
웅남이,에 가는 내내 얼굴에 미소가...~~,10
웅남이,댓글알바가 많네. 재밌더만 왜그러냐 ~ 남잘되는거 못보는사람들인가.,10
웅남이,웅남이 좌석점유율1위 가즈아~,10
데시벨,이요올 이종석 연기,10
이니셰린의 밴시,작은 불씨로 시작했으나 결국 앙상하게 남아버린 관계의 잔해,9
웅남이,편하게 웃다가 왔네요.,10
앤트맨과 와스프: 퀀텀매니아,"오랜만에 마블다운 마블 영화 본 느낌이었습니다. 다만, 세계최강 빌런이라고 했는데,,,,개미보다 약한,,,",9
웅남이,박성광감독에 대해서 비평하는건 알겠는데 영화는 괜찮다,10
웅남이,친구들하고 봤는데 주말에 부모님 보여드리려구요ㅎ,10
스즈메의 문단속,일본 애들의  생각은  참 독특합니다.,7
언어의 정원,감정이 급발진하는데 공감하기 힘듦,7
웅남이,"평론가로서는 아쉬운 영화일 수 있습니다. 그러나 그것이 감독 출신에 대한 문제로 번지면 안됩니다. 감독이 관련 대학을 나왔음에도 망하는 작품이 있고, 전혀 다른 대학을 나왔음에도 성공하는 작품이 있으니 판단 근거가 될 수 없어요..왜 누군가의 도전에 색안경을 끼신 채 평론하시는 지 모르겠네요..기대 안하고 간 웅남이는 꽤 재미있었습니다. 심오한 의미를 담고 있는 영화라기 보다는그냥 가볍게 즐기는 영화입니다. 딱 영화 &amp;lt;육사오&amp;gt;가 생각나는 영화예요.",8
스즈메의 문단속,공감대 형성 억지로 하지맙시다영화보면서 피곤해집니다,4
웅남이,꽁트를 길게 붙이면 지루하다,1
너의 이름은.,명작이라고 하는데 애써 명작일거라고느껴지지 않는,4
웅남이,연기자들 연기좋고 내용 생각보다 신선하고물론 결말이 완벽하진않지만요즘영화들 보고나면 머야?이느낌드는데 웅남이는 뉴스로든 에피소드로든 해소해주어서 좋았음 연기자들뽑은것도 감독실력아닌가란생각?너무 개그맨이라고 띄워줄것도없지만무시부터할일은 아니라고봄 나름볼만했던영화.,10
웅남이,웅남이 보다 말봉이가 좋더라ㅋ,10
웅남이,초딩이 수준영화나이 30넘으면 절대ㅠ보지 말고여친 이랑 가면 욕먹음 ㅡ...ㅡ,2
웅남이,기대보다 너무 재미났어요^^ 대박나길...,10
웅남이,이 영화를 욕하는자 클레멘타인을 욕하는자,10
웅남이,영화판이 만만한가?기대를 안하고봐도 이건 아닌거 같다,1
웅남이,액션씬은 볼만합니다.웃음은 크케 웃긴 부분보다는 소소한 피식정도의 웃음 포인트 입니다.간만에 피식정도의 웃음이 있던 영화였습니다.박성웅의 연대기 입니다. 간만에 영화 보면서 웃음이 많았네요.,8
웅남이,오랜만에 웃고 왔습니다. 박성광 감독님 화이팅!!!,10
웅남이,별기대없이봤는데 감독센스가 있네요넘웃겨요~눈물나게 웃긴장면도있었어요~같이본 일행도 재밌데요~ㅋㅋ  박성웅 이이경넘좋아요~ ,10
웅남이,욕 하는 사람들 무엇때문인지 이해 안감..난 재밋기만한데,10
탑건: 매버릭,남자로써 진짜 ㄱ1 ㅐ 멋있다. 우리조국을 지켜주시는 분들께 다시한번 감사드립니다,10
모나리자와 블러드 문,굿,7
웅남이,재밋다ㅋ..,10
목두기 비디오,어마어마한 영화임. 티비에서 하는거 보고 잠을 못 잤었슴. 이거 확장한 버젼이 마루이비디오임.,10
스즈메의 문단속,"지진에 대한 이해가 높으면 감동적이예요. 작화가 아름다워요,",9
웅남이,재미있는니 없느니 말도 많아 도대체 어떤건가 봤는데 너무 재밌었음.보길 정말 잘한거 같다.ㅋ,10
스즈메의 문단속,"일본의 입장에서 영화를 감상하니 더 몰입감 있게 영화를 볼 수 있었습니다. 스즈메의 여정 또한 지진이 한 번씩 스쳐간 지역을 지나가고 그 곳에서 묵묵히 살아가고 있는 사람들의 모습을 그려내고자 한 감독의 마음이 이해가 갔습니다. 다만, 사람들과의 만남이 너무 개연성이 없고 억지스러운 느낌이 들어 조금 아쉬운 느낌이 들었습니다. 그럼에도 정말 뛰어난 작화와 적절한 OST, 캐릭터의 매력 등 애니메이션으로써는 훌륭한 부분들이 많다고 생각합니다. 나중에 OTT에 나오면 한 번더 보고 싶지만 전작 너의 이름은 처럼 영화관에서 다시보고 싶다는 생각이 들지는 않습니다.",7
더 퍼스트 슬램덩크,슬램덩크 본 적 한 번도 없고 그저 운동을 좋아해서 보러 갔는데온 몸에 전율이 돋을 정도로 좋은 영화였습니다~~,10
미혹,최악최악최악최악최악,2
웅남이,말봉이 너무 웃김ㅋㅋㅋ,10
웅남이,너무 웃겨ㅋㅋㅋ,10
웅남이,"좋은 배우들 데려다놓고, 영 어설픈 코믹극 찍어놨는데...이건 뭐 웃기지도 않고, 하도 오랫만에 이런 막장 코믹극을 봐서 그런지, 신선?하기는 하네.그런데, 진짜 내 시간과 돈이 너무 아깝다.",2
스즈메의 문단속,일본 애니 극장판 보면 30분 안에 바로 잠 드는 편인데 이 영화는 끝까지 잘 봤네요 개연성이 부족하긴 하지만 감동이 너무 심해서 그런 거 따질 겨를이 없었음… 우리나라 가뭄 방지에 크게 기여하고 오는 길입니다,10
모나리자와 블러드 문,매우 감각적이지만 이를 받쳐주지 못하는 서사,6
웅남이,개그콘서트 실사버전 영화화,6
소울메이트,원작 보신 분들이면 잘 만들었다고는 못하실 것 같은데 …아예 한국풍으로 바꾸지 이상하게 감성 섞여가지고 ..,5
웅남이,평점 알바들 대단하다 이 영화 딱 한마디로 정리해준다 엄복동보다 못한 저급 영화 ,1
웅남이,재밋네요 .,10
스즈메의 문단속,공감이 잘 되지는 않았고 내용도 약간 난해했어요 너의이름은 이랑 자꾸 비교하게 되는데 그런급의 영화는 아닌거 같아요 너의이름은 감독 좋아하시면 보세요 로드무비같은 유쾌한 영화네요,8
웅남이,오달수까지 나온다.,1
파벨만스,거장의 조심스러웠던 고백,8
웅남이,박성광 도뢌나 그냥 개콘으로나 돌아가라 예능하는 것 봐도 그냥 그게 딱 당신 수준,1
웅남이,박성광 도뢌나 그냥 개콘으로나 돌아가라 예능하는 것 봐도 그냥 그게 딱 당신 수준,1
웅남이,^^,10
웅남이,어릴 떄 봤던 심형래 영화 생각났음 개연성 이런거 생각하지말고 그냥 노잼 영화,1
웅남이,정말 재밌습니다 스포일러하면 재미가 덜해질수도 있어서 영화 내용은 적지 않겠습니다,10
웅남이,아래 시비거는 사람들은 뭐하는 사람들이지? 실제로 영화보고나서 하는말도 아닌거 같은데.. ㅡ.ㅡ 거르고 들으면 될듯 실제 본 사람들평만 보고~ 평소에 박성광이나 출연배우들 팬도 아니었지만 평점 쓰려고 왔다가 시비거는 평때문에 괜히 눈살 찌푸려지네요 평점이라는 말 뜻 몰라요? 영화에 대한걸 얘기해야죠 ㅉㅉ,10
웅남이,.,10
스즈메의 문단속,후유증은 문닫기요 ㅋㅋ 짱 잼,10
리얼,뭘 말하고 싶은건지~~~~,1
모나리자와 블러드 문,전종서  배우의  연기 너무 좋았어요,10
웅남이,유치하면서 웃겼어요 ㅋ,8
언데드,여주 팬티를 보는 순간 모든 개차반은 용서가 된다.. 그런 팬티 스타일이 나오는 여친을 만나야겠단 꿈을 준 영화,10
웅남이,개그맨일때도 재미없던 사람인데영화라고 달라? ㅋㅋ,1
웅남이,코믹하면서도 잔잔한 감동을주며보는내내 웃음이끊이지 않게시간가는줄 모르게 멋진영화 잘봤습니다.,10
웅남이,아직도....별점 알바가 있나보네요..,1
소울메이트,두 배우의 연기가 좋았다,7
웅남이,역시 평론가 평은 믿을게 못되네요. 우울한 시기에 잘봤습니다.,10
웅남이,실컷 웃고 나옴요즘 웃을일도 없었는데~~,10
웅남이,"영화를 좋아하는 1인으로서, 현재 상영작 다봤는데 그 중에서 웅남이가 제일 좋았음.",8
스즈메의 문단속,진짜 내 애니 중에 1등임 꼭보세요,10
웅남이,돈받고 보세요 아니면 보지마세요,1
웅남이,"배꼽빼는줄 정말 재미가 있어요그렇다고요, 극장가서 볼 예정이에요",10
웅남이,박성광씨 힘내요~응원합니다~!!작품 평점을 떠나서그만큼 준비하고 도전한만큼탑배우들 캐스팅과  극장스크린으로개봉했다는것  대단한성과~앞으로 힘내서 잘되길 응원해요.,10
웅남이,저뿐만 아니라 같이간 친구들도 다 재밌다고 하는거 보니까 대부분 호불호없이 다 재밌게 볼 수 있는 영화였습니당:),10
웅남이,내돈 내고 봤으면 돈아까워서 몇일을 후회했을듯!!!!시간 아까울정도로 재미없어요 ㅠㅠ,1
웅남이,왠만하면 잘보는데 인생27년살면서 돈이 너무아깝다,1
더 웨일,비틀리기 좋은 현실이라더 세상을 바라보는 따스한 눈동자,8
신의 한 수,개봉 당시엔 관심이 없다가 최근 바둑에 관심이 있어 챙겨봤는데 긴장감 최고네요!,10
