,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,출연,평점
575,김종욱 찾기,장유정,씨제이이엔엠,2010-12-08,장편,한국,442,8271660983,1130638,멜로/로맨스,12세관람가,일반영화,2010,12,겨울,147759214,"['임수정', '공유']",8.29
576,하루,조선호,CGV아트하우스,2017-06-15,장편,한국,781,9068009842,1129018,스릴러,15세관람가,일반영화,2017,6,여름,219876227,"['김명민', '변요한', '유재명']",7.04
577,헝거게임: 캣칭 파이어,프란시스 로렌스,롯데엔터테인먼트,2013-11-21,장편,미국,630,7850816000,1125739,판타지,15세관람가,일반영화,2013,11,가을,213351030,"['제니퍼 로렌스', '조쉬 허처슨', '리암 헴스워스', '필립 세이모어 호프만', '토비 존스', '지나 말론', '엘리자베스 뱅크스', '샘 클라플린', '우디 해럴슨', '폴라 맬콤슨']",8.34
578,챔피언,김용완,워너브러더스 코리아,2018-05-01,장편,한국,874,9441064230,1125319,드라마,12세관람가,일반영화,2018,5,봄,216385269,"['마동석', '권율', '한예리']",6.31
579,슬럼독 밀리어네어,대니 보일,영화특별시에스엠씨,2009-03-19,장편,영국,201,7468302846,1125032,드라마,15세관람가,독립/예술영화,2009,3,봄,155398654,"['데브 파텔', '프리다 핀토', '타나이 크헤다', '아유시 마헤시 케데카', '탄비 가네시 론카', '루비아나 알리', '마드허 미탈', '아슈토시 로보 가지와라', '아자루딘 이스마일', '아닐 카푸르', '이르판 칸']",8.82
580,성난 변호사,허종호,씨제이이엔엠,2015-10-08,장편,한국,607,8697174039,1124918,범죄,15세관람가,일반영화,2015,10,가을,217299523,"['이선균', '김고은', '임원희']",7.81
581,6년째 연애중,박현진,스튜디오210,2008-02-05,장편,한국,327,7460438000,1123294,멜로/로맨스,15세관람가,일반영화,2008,2,겨울,147428639,"['김하늘', '윤계상']",7.04
582,특수본,황병국,시너지하우스,2011-11-24,장편,한국,471,8096052500,1118258,액션,15세관람가,일반영화,2011,11,가을,159724465,"['엄태웅', '주원', '정진영', '성동일', '이태임', '김정태']",6.97
583,마이펫의 이중생활 2,크리스 리노드,유니버설픽쳐스인터내셔널 코리아,2019-07-31,장편,미국,933,8512830825,1114941,애니메이션,전체관람가,일반영화,2019,7,여름,226678777,"['패튼 오스왈트', '에릭 스톤스트릿', '케빈 하트', '레이크 벨', '제니 슬레이트', '티파니 해디쉬', '해리슨 포드']",8.75
584,스타 트렉: 더 비기닝,J.J. 에이브럼스,씨제이이엔엠,2009-05-07,장편,미국,411,7425754645,1111865,SF,12세관람가,일반영화,2009,5,봄,155398654,"['크리스 파인', '재커리 퀸토']",8.7
585,라이트 아웃,데이비드 F. 샌드버그,워너브러더스 코리아,2016-08-24,장편,미국,659,8892177975,1111158,공포(호러),15세관람가,일반영화,2016,8,여름,217026182,"['테레사 팔머', '앨리시아 벨라 베일리', '가브리엘 베이트먼', '알렉산더 디퍼시아']",7.37
586,회사원,임상윤,쇼박스,2012-10-11,장편,한국,549,8321175000,1110523,액션,청소년관람불가,일반영화,2012,10,가을,194890587,"['소지섭', '이미연']",6.52
587,간신,민규동,롯데엔터테인먼트,2015-05-21,장편,한국,697,8946842910,1110246,사극,청소년관람불가,일반영화,2015,5,봄,217299523,"['주지훈', '김강우', '천호진', '임지연', '이유영']",6.9
588,박물관이 살아있다 : 비밀의 무덤,숀 레비,이십세기폭스코리아,2015-01-14,장편,미국,500,8170784606,1101678,어드벤처,전체관람가,일반영화,2015,1,겨울,217299523,"['벤 스틸러', '로빈 윌리엄스', '댄 스티븐스', '레벨 윌슨', '오웬 윌슨', '벤 킹슬리', '딕 반 다이크', '미키 루니', '스티브 쿠건']",8.06
589,베스트셀러,이정호,시너지하우스 ,2010-04-15,장편,한국,317,8110824681,1099665,미스터리,15세관람가,일반영화,2010,4,봄,147759214,['엄정화'],7.59
590,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",미키 타카히로,바이포엠스튜디오,2022-11-30,장편,일본,258,11341499930,1097535,멜로/로맨스,12세관람가,독립/예술영화,2022,11,가을,112805094,"['미치에다 슌스케 ', '후쿠모토 리코', '후루카와 코토네', '마츠모토 호노카']",8.61
591,롱 리브 더 킹: 목포 영웅,강윤성,플러스엠 엔터테인먼트,2019-06-19,장편,한국,965,9218262910,1092738,액션,15세관람가,일반영화,2019,6,여름,226678777,"['김래원', '원진아', '진선규', '최귀화']",7.53
592,마루 밑 아리에티,요네바야시 히로마사,씨제이이엔엠,2010-09-09,장편,일본,337,7773942884,1083746,애니메이션,전체관람가,일반영화,2010,9,가을,147759214,"['시다 미라이', '카미키 류노스케', '미우라 토모카즈', '오타케 시노부', '키키 키린', '타케시타 케이코']",8.25
593,퍼시픽 림: 업라이징,스티븐 S. 드나이트,유니버설픽쳐스인터내셔널 코리아,2018-03-21,장편,미국,1145,8962712795,1077235,액션,15세관람가,일반영화,2018,3,봄,216385269,"['존 보예가', '스콧 이스트우드']",6.61
594,가디언즈,피터 램지,씨제이이엔엠,2012-11-29,장편,미국,470,8212243000,1075584,애니메이션,전체관람가,일반영화,2012,11,가을,194890587,"['크리스 파인', '알렉 볼드윈', '주드 로', '아일라 피셔', '휴 잭맨', '다코타 고요', '양세나']",9.18
595,더 울버린,제임스 맨골드,이십세기폭스코리아,2013-07-25,장편,미국,707,7849518000,1075333,액션,15세관람가,일반영화,2013,7,여름,213351030,['휴 잭맨'],6.12
596,섹스 앤 더 시티,마이클 패트릭 킹,에스케이텔레콤,2008-06-05,장편,미국,361,7133337600,1074321,멜로/로맨스,청소년관람불가,일반영화,2008,6,여름,147428639,"['사라 제시카 파커', '킴 캐트럴', '신시아 닉슨', '크리스틴 데이비스', '크리스 노스', '제니퍼 허드슨']",7.75
597,몬스터 호텔 3,젠디 타타코브스키,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-08-08,장편,미국,715,7932156800,1072006,애니메이션,전체관람가,일반영화,2018,8,여름,216385269,"['아담 샌들러', '셀레나 고메즈']",8.6
598,오빠생각,이한,넥스트엔터테인먼트월드,2016-01-21,장편,한국,855,8058857287,1069436,드라마,12세관람가,일반영화,2016,1,겨울,217026182,"['임시완', '고아성']",8.53
599,노잉,알렉스 프로야스,넥스트엔터테인먼트월드,2009-04-16,장편,미국,394,6984051785,1063955,SF,12세관람가,일반영화,2009,4,봄,155398654,['니콜라스 케이지'],7.0
600,"날, 보러와요",이철하,플러스엠 엔터테인먼트,2016-04-07,장편,한국,683,8821335063,1061412,미스터리,청소년관람불가,일반영화,2016,4,봄,217026182,"['강예원', '이상윤', '최진호']",7.25
601,수상한 고객들,조진모,씨제이이엔엠,2011-04-14,장편,한국,411,7953428000,1059350,코미디,15세관람가,일반영화,2011,4,봄,159724465,['류승범'],8.64
602,쥬만지: 넥스트 레벨,제이크 캐스단,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-12-11,장편,미국,1195,8793014370,1057266,액션,12세관람가,일반영화,2019,12,겨울,226678777,"['카렌 길런', '드웨인 존슨', '케빈 하트', '잭 블랙']",6.12
603,스텝업 2 : 더 스트리트,존 추,스튜디오이쩜영,2008-03-13,장편,미국,278,6856702000,1052379,멜로/로맨스,12세관람가,일반영화,2008,3,봄,147428639,"['브리아나 에비건', '로버트 호프먼', '애덤 G. 세바니', '캐시']",8.65
604,그놈이다,윤준형,CGV아트하우스,2015-10-28,장편,한국,681,8098811152,1046313,스릴러,15세관람가,일반영화,2015,10,가을,217299523,"['주원', '유해진', '이유영']",6.91
605,동창생,박홍수,쇼박스,2013-11-06,장편,한국,660,6983395126,1044522,액션,15세관람가,일반영화,2013,11,가을,213351030,"['T.O.P', '한예리', '윤제문', '조성하', '김유정']",7.3
606,슈퍼 배드,크리스 리노드,유니버설픽쳐스인터내셔널 코리아,2010-09-16,장편,미국,321,9873975412,1043904,애니메이션,전체관람가,일반영화,2010,9,가을,147759214,"['스티브 카렐', '태연', '서현', '미란다 코스그로브', '다나 가이어']",9.0
607,점박이:한반도의 공룡3D,한상호,씨제이이엔엠,2012-01-26,장편,한국,457,9621468000,1040636,애니메이션,전체관람가,일반영화,2012,1,겨울,194890587,"['이형석', '신용우', '구자형']",7.64
608,삼국지:용의 부활,이인항,에스케이텔레콤,2008-04-03,장편,중국,322,6660263334,1036172,사극,15세관람가,일반영화,2008,4,봄,147428639,"['유덕화', '홍금보', '매기 큐']",6.51
609,파괴된 사나이,우민호,시너지하우스 ,2010-07-01,장편,한국,190,7820538614,1030285,드라마,청소년관람불가,일반영화,2010,7,여름,147759214,"['김명민', '엄기준', '박주미', '김소현', '이병준']",7.71
610,킹스맨: 퍼스트 에이전트,매튜 본,월트디즈니스튜디오스코리아,2021-12-22,장편,미국,1061,10313351770,1029365,액션,청소년관람불가,일반영화,2021,12,겨울,60531087,"['랄프 파인즈', '해리스 딕킨슨']",7.74
611,지오스톰,대니 캐넌,워너브러더스 코리아,2017-10-19,장편,미국,854,8480864614,1028384,액션,12세관람가,일반영화,2017,10,가을,219876227,"['제라드 버틀러', '애비 코니쉬', '짐 스터게스']",7.45
612,오직 그대만,송일곤,쇼박스,2011-10-20,장편,한국,435,7591008500,1027622,멜로/로맨스,15세관람가,일반영화,2011,10,가을,159724465,"['소지섭', '한효주']",9.14
613,개구쟁이 스머프,라자 고스넬,한국소니픽쳐스릴리징브에나비스타영화,2011-08-11,장편,미국,399,7722534000,1027438,애니메이션,전체관람가,일반영화,2011,8,여름,159724465,"['닐 패트릭 해리스', '소피아 베르가라']",8.55
614,로그 원: 스타워즈 스토리,가렛 에드워즈,월트디즈니스튜디오스코리아,2016-12-28,장편,미국,907,9047995594,1019309,액션,12세관람가,일반영화,2016,12,겨울,217026182,"['펠리시티 존스', '디에고 루나', '매즈 미켈슨', '리즈 아메드', '포레스트 휘태커', '견자단', '강문']",8.5
615,본 레거시,토니 길로이,유니버설픽쳐스인터내셔널 코리아,2012-09-06,장편,미국,585,7412233000,1015711,액션,15세관람가,일반영화,2012,9,가을,194890587,"['제레미 레너', '에드워드 노튼', '레이첼 와이즈']",7.14
616,밴티지 포인트,피트 트래비스,한국소니픽쳐스릴리징브에나비스타영화,2008-02-28,장편,미국,288,6654718499,1015287,스릴러,15세관람가,일반영화,2008,2,겨울,147428639,"['데니스 퀘이드', '매튜 폭스', '포레스트 휘태커', '브루스 맥길']",7.79
617,더 넌,코린 하디,워너브러더스 코리아,2018-09-19,장편,미국,824,8777844795,1011580,공포(호러),15세관람가,일반영화,2018,9,가을,216385269,"['타이사 파미가', '보니 아론스', '데미안 비쉬어']",6.67
618,셔터 아일랜드,마틴 스코세이지,씨제이이엔엠,2010-03-18,장편,미국,275,7528114276,1006833,드라마,15세관람가,일반영화,2010,3,봄,147759214,"['레오나르도 디카프리오', '마크 러팔로']",8.41
619,존 윅 3: 파라벨룸,채드 스타헬스키,제이앤씨미디어그룹,2019-06-26,장편,미국,849,8204889876,1004347,액션,청소년관람불가,일반영화,2019,6,여름,226678777,['키아누 리브스'],7.98
620,스카이스크래퍼,로슨 마샬 터버,유니버설픽쳐스인터내셔널 코리아,2018-07-11,장편,미국,831,8612111718,1002858,액션,12세관람가,일반영화,2018,7,여름,216385269,"['드웨인 존슨', '니브 캠벨']",7.57
621,맨 인 더 다크,페드 알바레즈,유니버설픽쳐스인터내셔널 코리아,2016-10-05,장편,미국,671,8445645672,999047,스릴러,청소년관람불가,일반영화,2016,10,가을,217026182,"['제인 레비', '딜런 미네트', '스티븐 랭']",7.92
622,오스트레일리아,바즈 루어만,이십세기폭스코리아,2008-12-10,장편,미국,433,6471511555,998528,사극,12세관람가,일반영화,2008,12,겨울,147428639,"['휴 잭맨', '니콜 키드먼']",7.8
623,인크레더블 헐크,루이스 리테리어,유니버설픽쳐스인터내셔널 코리아,2008-06-12,장편,미국,360,6422773000,992064,액션,15세관람가,일반영화,2008,6,여름,147428639,"['에드워드 노튼', '리브 타일러', '팀 로스']",8.27
624,염력,연상호,넥스트엔터테인먼트월드,2018-01-31,장편,한국,1099,7484644112,990104,드라마,15세관람가,일반영화,2018,1,겨울,216385269,"['류승룡', '심은경']",4.99
625,방가? 방가!,육상효,시너지하우스 ,2010-09-30,장편,한국,259,7129363141,989021,코미디,12세관람가,독립/예술영화,2010,9,가을,147759214,"['김인권', '김정태', '신현빈', '방대한', '나자루딘', '피터 홀맨', '에숀쿠로브 파르비스']",7.92
626,방황하는 칼날,이정호,씨제이이엔엠,2014-04-10,장편,한국,594,7806377800,987420,범죄,청소년관람불가,일반영화,2014,4,봄,215068958,"['정재영', '이성민']",7.74
627,시체가 돌아왔다,우선호,씨제이이엔엠,2012-03-29,장편,한국,435,7357623000,986547,범죄,15세관람가,일반영화,2012,3,봄,194890587,"['이범수', '류승범', '김옥빈']",7.42
628,미쓰 와이프,강효진,플러스엠 엔터테인먼트,2015-08-13,장편,한국,437,7357162869,984265,코미디,15세관람가,일반영화,2015,8,여름,217299523,"['엄정화', '송승헌']",8.96
629,파퍼씨네 펭귄들,마크 워터스,이십세기폭스코리아,2011-09-07,장편,미국,333,7043993000,979739,코미디,전체관람가,일반영화,2011,9,가을,159724465,"['칼라 구기노', '짐 캐리', '안젤라 랜즈베리', '매들린 캐롤']",8.53
630,로보캅,호세 파딜라,월트디즈니스튜디오스코리아,2014-02-13,장편,미국,627,7299641958,979509,액션,12세관람가,일반영화,2014,2,겨울,215068958,"['조엘 킨나만', '사무엘 L. 잭슨', '게리 올드만']",8.01
631,원더풀 라디오,권칠인,쇼박스,2012-01-05,장편,한국,474,7193596000,977470,드라마,15세관람가,일반영화,2012,1,겨울,194890587,"['이민정', '이정진']",7.57
632,돈 크라이 마미,김용한,에스비에스콘텐츠허브,2012-11-22,장편,한국,444,6808882099,975462,스릴러,15세관람가,일반영화,2012,11,가을,194890587,"['유선', '남보라', '유오성', '동호']",6.45
633,바보,김정권,씨제이이엔엠,2008-02-28,장편,한국,263,6301818833,974554,드라마,12세관람가,일반영화,2008,2,겨울,147428639,"['차태현', '하지원']",8.06
634,에픽 : 숲속의 전설,크리스 웻지,이십세기폭스코리아,2013-08-07,장편,미국,471,6702639000,973703,애니메이션,전체관람가,일반영화,2013,8,여름,213351030,"['아만다 사이프리드', '조쉬 허처슨', '콜린 파렐']",8.78
635,"고산자, 대동여지도",강우석,씨제이이엔엠,2016-09-07,장편,한국,765,7777473258,971194,사극,전체관람가,일반영화,2016,9,가을,217026182,"['차승원', '유준상']",7.17
636,우리는 형제입니다,장진,쇼박스,2014-10-23,장편,한국,566,7263255399,970373,코미디,12세관람가,일반영화,2014,10,가을,215068958,"['조진웅', '김성균', '김영애', '윤진이']",7.21
637,프로메테우스,리들리 스콧,이십세기폭스코리아,2012-06-06,장편,미국,521,8583886099,970275,SF,청소년관람불가,일반영화,2012,6,여름,194890587,"['누미 라파스', '마이클 패스벤더', '샤를리즈 테론', '가이 피어스']",7.76
638,전국노래자랑,이종필,롯데엔터테인먼트,2013-05-01,장편,한국,581,6606589000,963634,코미디,12세관람가,일반영화,2013,5,봄,213351030,"['김인권', '류현경', '김수미', '오광록', '유연석', '이초희', '오현경', '김중기']",8.01
639,스타워즈: 라스트 제다이,라이언 존슨,월트디즈니스튜디오스코리아,2017-12-14,장편,미국,1107,8666688961,959577,액션,12세관람가,일반영화,2017,12,겨울,219876227,"['데이지 리들리', '마크 해밀', '오스카 아이삭', '아담 드라이버', '캐리 피셔', '존 보예가']",6.32
640,나랏말싸미,조철현,플러스엠 엔터테인먼트,2019-07-24,장편,한국,1211,7871240823,958775,사극,전체관람가,일반영화,2019,7,여름,226678777,"['송강호', '박해일', '전미선']",3.37
641,백야행,박신우,시네마서비스,2009-11-19,장편,한국,398,7170684217,956767,멜로/로맨스,청소년관람불가,일반영화,2009,11,가을,155398654,"['호리키타 마키', '코라 켄고', '후나코시 에이이치로']",6.82
642,잭 더 자이언트 킬러,브라이언 싱어,워너브러더스 코리아,2013-02-28,장편,미국,507,7376481000,956154,판타지,12세관람가,일반영화,2013,2,겨울,213351030,"['스탠리 투치', '이완 맥그리거', '빌 나이', '니콜라스 홀트', '엘리너 톰린슨', '이안 맥쉐인']",7.72
643,미드웨이,롤랜드 에머리히,누리픽쳐스,2019-12-31,장편,미국,842,8211133530,955294,액션,15세관람가,일반영화,2019,12,겨울,226678777,"['루크 에반스', '패트릭 윌슨', '에드 스크레인', '아론 에크하트']",8.8
644,허삼관,하정우,넥스트엔터테인먼트월드,2015-01-14,장편,한국,621,7405415569,955175,드라마,12세관람가,일반영화,2015,1,겨울,217299523,"['하정우', '하지원']",7.54
645,스텝업4 : 레볼루션,스콧 스피어,롯데엔터테인먼트,2012-08-15,장편,미국,281,7157894000,953871,멜로/로맨스,12세관람가,일반영화,2012,8,여름,194890587,"['라이언 구즈먼', '캐서린 맥코믹']",8.78
646,발신제한,김창주,씨제이이엔엠,2021-06-23,장편,한국,1010,9085720540,952386,스릴러,15세관람가,일반영화,2021,6,여름,60531087,"['조우진', '이재인', '진경']",6.16
647,트랜스포터-라스트 미션,올리비에 메가턴,시너지하우스 ,2009-01-08,장편,프랑스,266,6336730334,951855,액션,15세관람가,일반영화,2009,1,겨울,155398654,"['제이슨 스타뎀', '나탈리아 루다코바']",7.58
648,불한당: 나쁜 놈들의 세상,변성현,씨제이이엔엠,2017-05-17,장편,한국,860,7654331125,951797,범죄,청소년관람불가,일반영화,2017,5,봄,219876227,"['설경구', '임시완']",6.53
649,그는 당신에게 반하지 않았다,켄 콰피스,넥스트엔터테인먼트월드,2009-02-12,장편,미국,354,6471531867,949324,멜로/로맨스,15세관람가,일반영화,2009,2,겨울,155398654,"['벤 애플렉', '제니퍼 애니스톤', '드류 베리모어', '제니퍼 코넬리', '케빈 코넬리', '브래들리 쿠퍼', '지니퍼 굿윈', '스칼릿 조핸슨', '저스틴 롱']",7.89
650,새미의 어드벤쳐,벤 스타센,씨제이이엔엠,2010-12-15,장편,기타,311,8919480155,946615,애니메이션,전체관람가,일반영화,2010,12,겨울,147759214,"['멜라니 그리피스', '이사벨 퍼만', '유리 로웬탈']",8.99
651,GP 506,공수창,쇼박스,2008-04-03,장편,한국,355,6316842000,945185,공포(호러),청소년관람불가,일반영화,2008,4,봄,147428639,"['천호진', '조현재', '이영훈', '이정헌']",7.03
652,월터의 상상은 현실이 된다,벤 스틸러,글뫼 ,2013-12-31,장편,미국,378,6877576799,941672,어드벤처,12세관람가,일반영화,2013,12,겨울,213351030,"['벤 스틸러', '크리스틴 위그', '숀 펜', '셜리 맥클레인']",8.76
653,크루즈 패밀리,커크 드 미코,씨제이이엔엠,2013-05-16,장편,미국,525,6540060500,941615,애니메이션,전체관람가,일반영화,2013,5,봄,213351030,"['엠마 스톤', '라이언 레이놀즈', '니콜라스 케이지']",9.24
654,미 비포 유,테아 샤록,워너브러더스 코리아,2016-06-01,장편,미국,481,7618156490,939658,멜로/로맨스,12세관람가,일반영화,2016,6,여름,217026182,"['에밀리아 클라크', '샘 클라플린']",8.51
655,뽀로로 극장판 슈퍼썰매 대모험,박영균,넥스트엔터테인먼트월드,2013-01-23,장편,한국,459,6819979500,929985,애니메이션,전체관람가,일반영화,2013,1,겨울,213351030,"['이선', '이미자', '김환진', '함수정', '홍소영', '조현정', '정미숙']",8.65
656,애나벨,존 R. 레오네티,워너브러더스 코리아,2014-10-02,장편,미국,464,7081566943,925813,공포(호러),15세관람가,일반영화,2014,10,가을,215068958,"['알프리 우다드', '<b>애나벨</b> 월리스', '에릭 라딘', '워드 호튼', '토니 아멘돌라']",6.86
657,보스 베이비 2,톰 맥그라스,유니버설픽쳐스인터내셔널 코리아,2021-07-21,장편,미국,1343,8292685050,925238,애니메이션,전체관람가,일반영화,2021,7,여름,60531087,"['알렉 볼드윈', '에이미 세다리스', '제임스 마스던']",8.93
658,슈퍼배드 2,크리스 리노드,유니버설픽쳐스인터내셔널 코리아,2013-09-12,장편,미국,421,6359208000,925108,애니메이션,전체관람가,일반영화,2013,9,가을,213351030,"['스티브 카렐', '미란다 코스그로브']",8.82
659,매그니피센트 7,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아,2016-09-14,장편,미국,579,7633490421,921317,액션,15세관람가,일반영화,2016,9,가을,217026182,"['크리스 프랫', '에단 호크', '덴젤 워싱턴', '빈<b>센트</b> 도노프리오', '맷 보머', '피터 사스가드', '캠 지갠뎃', '헤일리 베넷', '이병헌', '비니 존스', '마누엘 가르시아 룰포', '마틴 센스마이어']",7.92
660,갓 오브 이집트,알렉스 프로야스,시네마서비스,2016-03-03,장편,미국,618,7610472624,918678,어드벤처,12세관람가,일반영화,2016,3,봄,217026182,"['제라드 버틀러', '브렌튼 스웨이츠', '제프리 러쉬', '니콜라이 코스터-왈도']",7.39
661,주먹왕 랄프,리치 무어,월트디즈니스튜디오스코리아,2012-12-19,장편,미국,361,6589435500,918183,애니메이션,전체관람가,일반영화,2012,12,겨울,194890587,"['존 C. 라일리', '잭 맥브레이어', '제인 린치', '사라 실버맨']",9.35
662,투어리스트,플로리안 헨켈 폰 도너스마르크,한국소니픽쳐스릴리징브에나비스타영화,2010-12-09,장편,미국,439,6834421095,915359,드라마,15세관람가,일반영화,2010,12,겨울,147759214,"['안젤리나 졸리', '조니 뎁']",6.13
663,크로싱,김태균,벤티지홀딩스,2008-06-26,장편,한국,303,5657365667,907255,드라마,12세관람가,일반영화,2008,6,여름,147428639,"['차인표', '신명철']",9.03
664,월요일이 사라졌다,토미 위르콜라,스마일이엔티,2018-02-22,장편,영국,355,7489885100,903175,액션,15세관람가,독립/예술영화,2018,2,겨울,216385269,"['누미 라파스', '윌렘 대포', '글렌 클로즈']",8.34
665,데시벨,황인호,마인드마크,2022-11-16,장편,한국,1152,8852646146,901427,액션,12세관람가,일반영화,2022,11,가을,112805094,"['김래원', '이종석', '정상훈']",7.36
666,점쟁이들,신정원,넥스트엔터테인먼트월드,2012-10-03,장편,한국,479,6345293500,900054,코미디,15세관람가,일반영화,2012,10,가을,194890587,"['김수로', '강예원', '이제훈', '곽도원', '김윤혜', '양경모']",5.84
667,정직한 후보2,장유정,넥스트엔터테인먼트월드,2022-09-28,장편,한국,1318,8446139162,899684,코미디,12세관람가,일반영화,2022,9,가을,112805094,"['라미란', '김무열', '윤경호']",6.01
668,더 배트맨,맷 리브스,워너브러더스 코리아,2022-03-01,장편,미국,2370,9252877980,897836,액션,15세관람가,일반영화,2022,3,봄,112805094,"['로버트 패틴슨', '앤디 서키스', '조 크라비츠', '폴 다노']",7.21
669,인랑,김지운,워너브러더스 코리아,2018-07-25,장편,한국,1085,6994748173,897548,SF,15세관람가,일반영화,2018,7,여름,216385269,"['강동원', '한효주', '정우성', '김무열']",3.87
670,결백,박상현,소니픽쳐스엔터테인먼트코리아극장배급지점,2020-06-10,장편,한국,1112,7858099340,893855,드라마,15세관람가,일반영화,2020,6,여름,59523967,"['신혜선', '배종옥', '허준호']",7.65
671,신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,씨제이이엔엠,2019-12-19,장편,한국,841,7046110380,893221,애니메이션,전체관람가,일반영화,2019,12,겨울,226678777,"['조현정', '양정화', '김영은', '김채하']",8.52
672,타이탄의 분노,조나단 리브스만,워너브러더스 코리아,2012-03-29,장편,미국,535,7591124500,893027,액션,12세관람가,일반영화,2012,3,봄,194890587,"['샘 워싱턴', '리암 니슨', '랄프 파인즈', '로자먼드 파이크', '대니 휴스턴']",6.87
673,그것,안드레스 무시에티,워너브러더스 코리아,2017-09-06,장편,미국,837,7331422607,888386,공포(호러),15세관람가,일반영화,2017,9,가을,219876227,"['빌 스카스가드', '제이든 마텔']",6.92
674,몬스터 호텔,젠디 타타코브스키,월트디즈니스튜디오스코리아,2013-01-17,장편,미국,489,6080221500,884885,애니메이션,전체관람가,일반영화,2013,1,겨울,213351030,"['아담 샌들러', '스티브 부세미', '프란 드레셔', '앤디 샘버그']",8.23
675,씽2게더,가스 제닝스,유니버설픽쳐스인터내셔널 코리아,2022-01-05,장편,미국,1251,8186997050,883973,애니메이션,전체관람가,일반영화,2022,1,겨울,112805094,"['스칼릿 조핸슨', '태런 에저튼', '리즈 위더스푼', '매튜 맥커너히', '토리 켈리', '보노', '퍼렐 윌리엄스']",9.37
676,아이스 에이지 3: 공룡시대,마이크 트메이어,이십세기폭스코리아,2009-08-12,장편,미국,367,6189838667,877398,애니메이션,전체관람가,일반영화,2009,8,여름,155398654,"['존 레귀자모', '데니스 리어리', '퀸 라티파', '레이 로마노', '크리스 웨지']",8.77
677,메가마인드,톰 맥그라스,씨제이이엔엠,2011-01-13,장편,미국,414,8688175500,875481,애니메이션,전체관람가,일반영화,2011,1,겨울,159724465,"['윌 페렐', '티나 페이', '조나 힐', '브래드 피트', '김수로']",8.79
678,극장판 헬로카봇 : 백악기 시대,김진철,넥스트엔터테인먼트월드,2018-08-01,장편,한국,758,6542619500,874967,애니메이션,전체관람가,일반영화,2018,8,여름,216385269,"['이지현', '김용준', '양정화']",9.23
679,디스 민즈 워,맥지,이십세기폭스코리아,2012-02-29,장편,미국,351,6661435000,873396,액션,15세관람가,일반영화,2012,2,겨울,194890587,"['리즈 위더스푼', '크리스 파인', '톰 하디']",8.2
680,스카이 라인,그렉 스트로즈,화앤담이엔티,2010-11-24,장편,미국,431,6414538349,873079,액션,12세관람가,일반영화,2010,11,가을,147759214,"['에릭 벌포', '스카티 톰슨']",6.27
681,고死 두 번째 이야기: 교생실습,유선동,넥스트엔터테인먼트월드,2010-07-28,장편,한국,320,5901045987,872594,공포(호러),15세관람가,일반영화,2010,7,여름,147759214,"['김수로', '황정음', '윤시윤', '지연', '박은빈']",4.73
682,열한시,김현석,씨제이이엔엠,2013-11-28,장편,한국,512,6097792000,870785,스릴러,15세관람가,일반영화,2013,11,가을,213351030,"['정재영', '최다니엘', '김옥빈']",6.44
683,1917,샘 멘데스,스마일이엔티,2020-02-19,장편,미국,932,7872002760,870451,드라마,15세관람가,일반영화,2020,2,겨울,59523967,"['조지 맥케이', '딘-찰스 채프먼']",8.91
684,몬스터 대학교,댄 스캔론,월트디즈니스튜디오스코리아,2013-09-12,장편,미국,381,5873833500,870065,애니메이션,전체관람가,일반영화,2013,9,가을,213351030,"['빌리 크리스탈', '존 굿맨', '스티브 부세미']",8.79
685,개구쟁이 스머프 2,라자 고스넬,월트디즈니스튜디오스코리아,2013-08-01,장편,미국,478,5655415500,869805,애니메이션,전체관람가,일반영화,2013,8,여름,213351030,"['크리스티나 리치', '닐 패트릭 해리스', '알란 커밍', '행크 아자리아', '케이티 페리', '제이마 메이스', 'J. B. 스무브', '존 올리버', '마이린 로비치', '카롤리나 바르체', '안톤 옐친']",7.87
686,미확인 동영상 : 절대클릭금지,김태경,쇼박스,2012-05-30,장편,한국,361,5939840500,867386,공포(호러),15세관람가,일반영화,2012,5,봄,194890587,"['박보영', '주원', '강별']",6.13
687,오리엔트 특급 살인,케네스 브래너,이십세기폭스코리아,2017-11-29,장편,미국,707,6645385163,864757,드라마,12세관람가,일반영화,2017,11,가을,219876227,"['케네스 브래너', '조니 뎁', '데이지 리들리', '미셸 파이퍼', '페넬로페 크루즈', '주디 덴치', '윌렘 대포', '조시 게드', '데릭 제이코비', '레슬리 오덤 주니어']",8.01
688,콰이어트 플레이스 2,존 크래신스키,롯데컬처웍스롯데엔터테인먼트,2021-06-16,장편,미국,1137,8550116360,863339,스릴러,15세관람가,일반영화,2021,6,여름,60531087,"['에밀리 블런트', '노아 주프', '밀리센트 시몬스', '킬리언 머피']",8.13
