,영화명,감독,배급사,개봉일,출연
195,캐리비안의 해적: 낯선 조류,롭 마샬,한국소니픽쳐스릴리징브에나비스타영화,2011-05-19,"['조니 뎁', '제프리 러쉬', '페넬로페 크루즈']"
196,퀵,조범구,씨제이이엔엠,2011-07-20,"['이민기', '강예원', '김인권', '고창석']"
197,감기,김성수,아이러브시네마,2013-08-14,"['장혁', '수애', '박민하']"
198,나우 유 씨 미 2,존 추,롯데엔터테인먼트,2016-07-13,"['제시 아이젠버그', '마크 러팔로', '우디 해럴슨', '데이브 프랭코', '리지 캐플란']"
199,거북이 달린다,이연우,쇼박스,2009-06-11,"['김윤석', '정경호', '견미리', '선우선']"
200,캐리비안의 해적: 죽은 자는 말이 없다,에스펜 샌버그,월트디즈니스튜디오스코리아,2017-05-24,"['조니 뎁', '하비에르 바르뎀', '카야 스코델라리오', '브렌튼 스웨이츠', '제프리 러쉬']"
201,이터널스,클로이 자오,월트디즈니스튜디오스코리아,2021-11-03,"['안젤리나 졸리', '마동석', '리차드 매든', '쿠마일 난지아니', '셀마 헤이엑', '젬마 찬', '로런 리들로프', '브라이언 타이리 헨리', '배리 케오간', '리아 맥휴']"
202,스물,이병헌,넥스트엔터테인먼트월드,2015-03-25,"['김우빈', '준호', '강하늘']"
203,토르: 다크 월드,앨런 테일러,월트디즈니스튜디오스코리아,2013-10-30,"['크리스 헴스워스', '나탈리 포트만', '톰 히들스턴', '안소니 홉킨스', '크리스토퍼 에클리스턴', '이드리스 엘바']"
204,방자전,김대우,씨제이이엔엠,2010-06-02,"['김주혁', '류승범', '조여정']"
205,인크레더블 2,브래드 버드,월트디즈니스튜디오스코리아,2018-07-18,"['사무엘 L. 잭슨', '홀리 헌터', '크레이그 T. 넬슨', '사라 보웰', '헉 밀너']"
206,레드: 더 레전드,딘 패리소트,롯데엔터테인먼트,2013-07-18,"['이병헌', '브루스 윌리스', '존 말코비치', '캐서린 제타 존스', '헬렌 미렌', '메리 루이스 파커', '안소니 홉킨스']"
207,해리 포터와 혼혈 왕자,데이빗 예이츠,워너브러더스 코리아,2009-07-15,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']"
208,오싹한 연애,황인호,씨제이이엔엠,2011-12-01,"['손예진', '이민기']"
209,드래곤 길들이기 2,딘 데블로이스,씨제이이엔엠,2014-07-23,"['제이 바루첼', '제라드 버틀러', '아메리카 페레라']"
210,형,권수경,씨제이이엔엠,2016-11-23,"['조정석', '도경수', '박신혜']"
211,친구 2,곽경택,롯데엔터테인먼트,2013-11-14,"['유오성', '주진모', '김우빈']"
212,26년,조근현,인벤트스톤,2012-11-29,"['진구', '한혜진', '임슬옹']"
213,블랙 위도우,케이트 쇼트랜드,월트디즈니스튜디오스코리아,2021-07-07,"['스칼릿 조핸슨', '데이빗 하버', '플로렌스 퓨', '레이첼 와이즈']"
214,서치,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-08-29,"['존 조', '데브라 메싱']"
215,고지전,장훈,쇼박스,2011-07-20,"['신하균', '고수', '이제훈', '류승수', '고창석', '이다윗', '류승룡', '김옥빈', '조진웅', '정인기', '박영서']"
216,엑스맨: 아포칼립스,브라이언 싱어,이십세기폭스코리아,2016-05-25,"['제임스 맥어보이', '마이클 패스벤더', '제니퍼 로렌스', '오스카 아이삭', '니콜라스 홀트']"
217,프리즌,나현,쇼박스,2017-03-23,"['한석규', '김래원']"
218,솔트,필립 노이스,한국소니픽쳐스릴리징브에나비스타영화,2010-07-29,['안젤리나 졸리']
219,가장 보통의 연애,김한결,넥스트엔터테인먼트월드,2019-10-02,"['김래원', '공효진']"
220,헬로우 고스트,김영탁,넥스트엔터테인먼트월드,2010-12-22,"['차태현', '강예원', '이문수', '고창석', '장영남', '천보근']"
221,원티드,티무르 베크맘베토브,유니버설픽쳐스인터내셔널 코리아,2008-06-26,"['제임스 맥어보이', '모건 프리먼', '안젤리나 졸리']"
222,극비수사,곽경택,쇼박스,2015-06-18,"['김윤석', '유해진']"
223,앤트맨,페이튼 리드,월트디즈니스튜디오스코리아,2015-09-03,"['폴 러드', '마이클 더글라스', '에반젤린 릴리', '코리 스톨']"
224,쥬라기 월드: 도미니언,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아,2022-06-01,"['크리스 프랫', '브라이스 달라스 하워드']"
225,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아,2014-12-17,"['마틴 프리먼', '이안 맥켈런', '리처드 아미티지']"
226,너의 결혼식,이석근,플러스엠 엔터테인먼트,2018-08-22,"['박보영', '김영광']"
227,호빗: 뜻밖의 여정,피터 잭슨,워너브러더스 코리아,2012-12-13,"['마틴 프리먼', '이안 맥켈런', '리처드 아미티지']"
228,말모이,엄유나,롯데컬처웍스롯데엔터테인먼트,2019-01-09,"['유해진', '윤계상']"
229,메이즈 러너,웨스 볼,이십세기폭스코리아,2014-09-18,"['윌 폴터', '토마스 생스터', '딜런 오브라이언', '카야 스코델라리오', '이기홍']"
230,해리 포터와 죽음의 성물1,데이빗 예이츠,워너브러더스 코리아,2010-12-15,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']"
231,마녀(魔女) Part2. The Other One,박훈정,넥스트엔터테인먼트월드,2022-06-15,"['신시아', '박은빈', '서은수', '진구', '성유빈', '조민수']"
232,빅 히어로,돈 홀,월트디즈니스튜디오스코리아,2015-01-21,"['마야 루돌프', 'T.J. 밀러', '알란 터딕', '다니엘 헤니', '라이언 포터', '스콧 애짓', '제이미 정', '제네시스 로드리게스', '데이몬 웨이언스 주니어']"
233,덩케르크,크리스토퍼 놀란,워너브러더스 코리아,2017-07-20,"['톰 하디', '킬리언 머피', '케네스 브래너', '마크 라이런스', '해리 스타일스', '핀 화이트헤드', '아뉴린 바나드', '톰 글린 카니', '잭 로던', '배리 케오간']"
234,혹성탈출: 진화의 시작,루퍼트 와이어트,이십세기폭스코리아,2011-08-17,"['제임스 프랭코', '톰 펠튼', '프리다 핀토', '브라이언 콕스', '앤디 서키스']"
235,부당거래,류승완,씨제이이엔엠,2010-10-28,"['황정민', '류승범', '유해진', '천호진']"
236,메이즈 러너: 스코치 트라이얼,웨스 볼,이십세기폭스코리아,2015-09-16,"['딜런 오브라이언', '토마스 생스터', '카야 스코델라리오', '이기홍']"
237,가디언즈 오브 갤럭시 VOL. 2,제임스 건,월트디즈니스튜디오스코리아,2017-05-03,"['크리스 프랫', '조 샐다나', '데이브 바티스타', '빈 디젤', '브래들리 쿠퍼']"
238,시라노; 연애조작단,김현석,롯데엔터테인먼트,2010-09-16,"['엄태웅', '이민정', '최다니엘', '박신혜', '박철민', '전역산', '송새벽', '류현경']"
239,핸콕,피터 버그,한국소니픽쳐스릴리징브에나비스타영화,2008-07-02,"['윌 스미스', '샤를리즈 테론', '제이슨 베이트먼', '에디 마산']"
240,내가 살인범이다,정병길,쇼박스,2012-11-08,"['정재영', '박시후']"
241,나우 유 씨 미 : 마술사기단,루이스 리테리어,롯데엔터테인먼트,2013-08-22,"['우디 해럴슨', '제시 아이젠버그', '마크 러팔로', '멜라니 로랑']"
242,미스 페레그린과 이상한 아이들의 집,팀 버튼,이십세기폭스코리아,2016-09-28,"['에바 그린', '엘라 퍼넬', '에이사 버터필드', '사무엘 L. 잭슨', '앨리슨 제니', '킴 디킨스', '주디 덴치', '크리스 오다우드']"
243,토르: 러브 앤 썬더,타이카 와이티티,월트디즈니스튜디오스코리아,2022-07-06,"['크리스 헴스워스', '테사 톰슨', '나탈리 포트만', '크리스찬 베일', '크리스 프랫', '타이카 와이티티']"
244,적벽대전 2 : 최후의 결전,오우삼,쇼박스,2009-01-22,"['양조위', '금성무', '장풍의', '장첸', '자오웨이', '후준', '나카무라 시도', '린즈링']"
245,지.아이.조 : 전쟁의 서막,스티븐 소머즈,씨제이이엔엠,2009-08-06,"['채닝 테이텀', '데니스 퀘이드', '이병헌', '조셉 고든 레빗', '시에나 밀러', '레이첼 니콜스', '크리스토퍼 에클리스턴', '레이 파크', '아데웰 아킨누오예 아바제', '아놀드 보슬로', '말론 웨이언스', '조나단 프라이스', '세이드 타그마오우이']"
246,곤지암,정범식,쇼박스,2018-03-28,"['위하준', '박지현', '오아연', '문예원', '박성훈', '이승욱', '유제윤']"
247,소원,이준익,롯데엔터테인먼트,2013-10-02,"['설경구', '엄지원', '이레']"
248,살인자의 기억법,원신연,쇼박스,2017-09-06,"['설경구', '김남길', '설현', '오달수']"
249,브레이킹 던 part2,빌 콘돈,넥스트엔터테인먼트월드,2012-11-15,"['크리스틴 스튜어트', '로버트 패틴슨', '다코타 패닝', '테일러 로트너', '애슐리 그린', '매기 그레이스']"
250,탐정 : 더 비기닝,김정훈,씨제이이엔엠,2015-09-24,"['권상우', '성동일']"
251,미니언즈,카일 발다,유니버설픽쳐스인터내셔널 코리아,2015-07-29,"['산드라 블록', '존 햄', '피에르 꼬팽', '마이클 키튼', '앨리슨 제니']"
252,후궁 : 제왕의 첩,김대승,롯데엔터테인먼트,2012-06-06,"['조여정', '김동욱', '김민준']"
253,트랜스포머: 최후의 기사,마이클 베이,롯데엔터테인먼트,2017-06-21,"['마크 월버그', '로라 하드독', '조쉬 더하멜', '안소니 홉킨스']"
254,제이슨 본,폴 그린그래스,유니버설픽쳐스인터내셔널 코리아,2016-07-27,"['알리시아 비칸데르', '맷 데이먼', '줄리아 스타일스', '토미 리 존스', '뱅상 카셀']"
255,드래곤 길들이기,딘 데블로이스,유니버설픽쳐스인터내셔널 코리아,2010-05-20,"['제이 바루첼', '제라드 버틀러', '아메리카 페레라', '크레이그 퍼거슨', '조나 힐']"
256,지금 만나러 갑니다,이장훈,롯데엔터테인먼트,2018-03-14,"['소지섭', '손예진']"
257,도리를 찾아서,앤드류 스탠튼,월트디즈니스튜디오스코리아,2016-07-06,"['엘런 드제너러스', '다이안 키튼', '이드리스 엘바', '도미닉 웨스트', '케이틀린 올슨', '헤이든 롤렌스', '앨버트 브룩스', '에드 오닐']"
258,위험한 상견례,김진영,롯데엔터테인먼트,2011-03-31,"['송새벽', '이시영', '백윤식', '김수미']"
259,아수라,김성수,씨제이이엔엠,2016-09-28,"['정우성', '황정민', '주지훈', '곽도원']"
260,굿모닝 프레지던트,장진,씨제이이엔엠,2009-10-22,"['이순재', '장동건', '고두심', '임하룡', '한채영']"
261,보안관,김형주,롯데엔터테인먼트,2017-05-03,"['이성민', '조진웅', '김성균']"
262,기술자들,김홍선,롯데엔터테인먼트,2014-12-24,"['김우빈', '김영철', '고창석', '이현우', '조윤희', '임주환']"
263,퍼시픽 림,길예르모 델 토로,워너브러더스 코리아,2013-07-11,"['찰리 허냄', '론 펄먼', '이드리스 엘바', '찰리 데이', '키쿠치 린코']"
264,엑스맨: 퍼스트 클래스,매튜 본,이십세기폭스코리아,2011-06-02,"['제임스 맥어보이', '마이클 패스벤더', '케빈 베이컨', '제니퍼 로렌스', '재뉴어리 존스']"
265,정글북,존 파브로,월트디즈니스튜디오스코리아,2016-06-09,"['이드리스 엘바', '스칼릿 조핸슨', '루피타 뇽', '벤 킹슬리', '닐 세티', '빌 머레이']"
266,마이펫의 이중생활,크리스 리노드,유니버설픽쳐스인터내셔널 코리아,2016-08-03,"['루이스 C.K.', '엘리 켐퍼', '에릭 스톤스트릿', '바비 모니한', '레이크 벨', '케빈 하트', '제니 슬레이트']"
267,증인,이한,롯데컬처웍스롯데엔터테인먼트,2019-02-13,"['정우성', '김향기']"
268,조작된 도시,박광현,씨제이이엔엠,2017-02-09,"['지창욱', '심은경', '안재홍']"
269,반창꼬,정기훈,넥스트엔터테인먼트월드,2012-12-19,"['고수', '한효주']"
270,블랙머니,정지영,에이스메이커무비웍스,2019-11-13,"['조진웅', '이하늬']"
271,보스 베이비,톰 맥그라스,씨제이이엔엠,2017-05-03,['알렉 볼드윈']
272,화차,변영주,필라멘트픽쳐스,2012-03-08,"['이선균', '김민희', '조성하']"
273,이웃사람,김휘,롯데엔터테인먼트,2012-08-22,"['김윤진', '마동석', '천호진', '김성균', '김새론', '임하룡', '장영남', '도지한']"
274,조선명탐정: 흡혈괴마의 비밀,김석윤,쇼박스,2018-02-08,"['김명민', '오달수', '김지원']"
275,재심,김태윤,오퍼스픽쳐스,2017-02-15,"['정우', '강하늘', '김해숙']"
276,신비한 동물들과 그린델왈드의 범죄,데이빗 예이츠,워너브러더스 코리아,2018-11-14,"['에디 레드메인', '조니 뎁', '캐서린 워터스턴', '주드 로', '에즈라 밀러']"
277,터미네이터: 다크 페이트,팀 밀러,월트디즈니스튜디오스코리아,2019-10-30,"['맥켄지 데이비스', '아놀드 슈왈제네거', '린다 해밀턴', '나탈리아 레이즈', '가브리엘 루나']"
278,히트맨,최원섭,롯데컬처웍스롯데엔터테인먼트,2020-01-22,"['권상우', '정준호', '황우슬혜', '이이경', '이지원']"
279,사바하,장재현,씨제이이엔엠,2019-02-20,"['이정재', '박정민', '이재인', '유지태']"
280,의뢰인,손영성,쇼박스,2011-09-29,"['하정우', '박희순', '장혁']"
281,화이: 괴물을 삼킨 아이,장준환,쇼박스,2013-10-09,"['김윤석', '여진구', '조진웅', '장현성', '김성균', '박해준']"
282,테이큰,피에르 모렐,스튜디오이쩜영,2008-04-09,"['리암 니슨', '매기 그레이스']"
283,007 스카이폴,샘 멘데스,월트디즈니스튜디오스코리아,2012-10-26,"['랄프 파인즈', '다니엘 크레이그', '하비에르 바르뎀', '주디 덴치']"
284,가문의 영광4 - 가문의 수난,정태원,넥스트엔터테인먼트월드,2011-09-07,"['김수미', '신현준', '탁재훈', '임형준', '정준하', '현영']"
285,블라인드,안상훈,넥스트엔터테인먼트월드,2011-08-10,"['김하늘', '유승호']"
286,박열,이준익,플러스엠 엔터테인먼트,2017-06-28,"['이제훈', '최희서', '김인우']"
287,미인도,전윤수,씨제이이엔엠,2008-11-13,"['김규리', '김영호', '김남길', '추자현']"
288,라스트 갓파더,심형래,씨제이이엔엠,2010-12-29,"['심형래', '하비 케이틀', '마이클 리스폴리', '제이슨 미웨스', '조셀린 도나휴']"
289,모아나,론 클레멘츠,월트디즈니스튜디오스코리아,2017-01-12,"['드웨인 존슨', '알란 터딕', '아우이 크라발호', '저메인 클레멘트', '니콜 셰르징거', '테무에라 모리슨', '레이첼 하우스']"
290,테이큰 2,올리비에 메가턴,이십세기폭스코리아,2012-09-27,"['리암 니슨', '매기 그레이스', '팜케 얀센', '라드 세르베드지야']"
291,하녀,임상수,싸이더스,2010-05-13,"['전도연', '이정재', '윤여정', '서우']"
292,메이즈 러너: 데스 큐어,웨스 볼,이십세기폭스코리아,2018-01-17,"['딜런 오브라이언', '토마스 생스터', '이기홍', '카야 스코델라리오']"
293,분노의 질주: 더 얼티메이트,저스틴 린,유니버설픽쳐스인터내셔널 코리아,2021-05-19,"['빈 디젤', '샤를리즈 테론', '미셸 로드리게즈', '조다나 브류스터', '존 시나', '성 강']"
294,맘마미아!2,올 파커,유니버설픽쳐스인터내셔널 코리아,2018-08-08,"['아만다 사이프리드', '릴리 제임스', '메릴 스트립', '피어스 브로스넌', '제레미 어바인', '콜린 퍼스', '휴 스키너', '스텔란 스카스가드', '조쉬 딜란']"
295,호빗: 스마우그의 폐허,피터 잭슨,워너브러더스 코리아,2013-12-12,"['휴고 위빙', '마틴 프리먼', '루크 에반스', '베네딕트 컴버배치', '이안 맥켈런', '리처드 아미티지', '케이트 블란쳇', '올랜도 블룸', '앤디 서키스', '크리스토퍼 리', '에반젤린 릴리']"
296,미니언즈2,카일 발다,유니버설픽쳐스인터내셔널 코리아,2022-07-20,"['스티브 카렐', '타라지 P. 헨슨', '루시 로리스', '장 끌로드 반담', '양자경']"
297,컨저링,제임스 완,워너브러더스 코리아,2013-09-17,"['베라 파미가', '매켄지 포이', '패트릭 윌슨', '조이 킹', '릴리 테일러', '론 리빙스턴']"
298,슈렉 포에버,마이크 미첼,씨제이이엔엠,2010-07-01,"['마이크 마이어스', '에디 머피', '카메론 디아즈', '안토니오 반데라스']"
299,이글 아이,D.J. 카루소,씨제이이엔엠,2008-10-09,"['샤이아 라보프', '미셸 모나한']"
